                                                                                                                                                                                                                                                          ,,,,,,,
"Source: USCIS, data as of Nov. 30, 2018. Notes: All data is based on petitions approved during the fiscal year for both initial employment and continuing employment. Petitions approved in a fiscal year may be filed in previous fiscal years. Per USCIS best practices, units of less than 10 beneficiaries are masked to limit the possibility of the de-anonymization of data. ""D"" represents data withheld to protect privacy. The letter ""H"" replaces the value from which one could deduce the value of ""D"". While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the USCIS electronic data storage system does not capture the education field. Median salary is based on data reported by the petitioner in the petition and may include part-time employment or may be reported inaccurately. Because USCIS data systems do not include hours worked, we are unable to identify salaries earned from part-time employment. Instead of the required degree, a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty. We excluded employers without tax identification numbers in our system. The H-1B petition may be used to sponsor an alien currently in a different nonimmigrant classification, or with no classification if outside the U.S., for an initial period of H-1B employment (see “initial employment” column below), or to extend or change the authorized stay of an alien currently in H-1B status (see “continuing employment” column below). An employer may file an H-1B petition to sponsor an alien who currently has H-1B nonimmigrant status working for another employer or to amend a previously approved petition; these petitions are counted in the “continuing employment” column below. Initial employment includes both cap-subject and cap-exempt petitions.",,,,,,,
Employer Tax ID     (Last 4 Digits),Employer Name, Number of Beneficiaries ,,, Median Salary , Beneficiary Degree/Dipolma ,
6109,OREGON HEALTH & SCIENCE UNIV, D ,   , H ,"76,960", Master's , D 
5773,GOVPLACE INC,   , D , H ,"140,000", Master's , D 
8144,JOHN L V PLATT DC PC DBA WOODSTOCK,   , D , H ,"72,000", Professional Degree , D 
6378,ALLIED WORKS ARCHITECTURE INC, D ,   , H ,"52,000", Master's , D 
3053,CALLISONRTKL ARCHITECTS P C,   , D , H ,"82,014", Master's , D 
6836,CARLETON HART ARCHITECTURE P C, D ,   , H ,"49,213", Master's , D 
8702,ASSISTED LIVING CONCEPTS LLC DBA E,   , D , H ,"100,000", Bachelor's , D 
2374,SWINERTON INCORPORATED, D ,   , H ,"82,500", Master's , D 
997,AFGHAN ASSOCIATES INC DBA AAI ENGI, D ,   , H ,"59,530", Master's , D 
7755,APPLIED SCIENTIFIC INSTRUMENTATION,   , D , H ,"67,080", Master's , D 
1836,UK INTERNATIONAL SOCCER CAMPS,   , D , H ,"66,000", Bachelor's , D 
7411,A & B CONSTRUCTION, D ,   , H ,"92,000", Master's , D 
4889,KERR CONTRACTORS INC,   , D , H ,"66,664", Master's , D 
7960,SALEM PULMONARY ASSOCIATES P C, D ,   , H ,"350,000", Professional Degree , D 
7927,RICK L HUG CPA PC, D ,   , H ,"47,840", Master's , D 
2546,FACTORIES CONNECTION INC, D ,   , H ,"57,949", Master's , D 
7451,MOLECULAR PROBES INC D/B/A THERMO, D ,   , H ,"71,610", Master's , D 
8030,EAI INFORMATION SYSTEMS INC,   , D , H ,"75,600", Master's , D 
1417,CHEETAH SOFTWARE SYSTEMS INC,   , D , H ,"110,000", Master's , D 
4447,KITTELSON & ASSOCIATES INC,   , D , H ,"96,293", Doctorate , D 
2605,CRAY INC,   , D , H ,"130,000", Master's , D 
358,MODO INC,   , D , H ,"90,000", Bachelor's , D 
9773,KTS NETWORKS INC,   , D , H ,"72,800", Master's , D 
4256,GOLD DUST POTATO PROCESSORS INC, D ,   , H ,"43,763", Master's , D 
3975,CAREOREGON INC,   , D , H ,"108,800", Bachelor's , D 
2349,NORTHERN NATURAL GAS CO,   , D , H ,"80,000", Master's , D 
2102,INFOCUS CORPORATION, D ,   , H ,"109,325", Master's , D 
8924,PERKINS & COMPANY PC,   , D , H ,"60,808", Master's , D 
213,NEW AVENUES FOR YOUTH, D ,   , H ,23, Doctorate , D 
3349,ZIBA DESIGN INC,   , D , H ,"72,000", Master's , D 
7025,CLIMATEMASTER INC, D ,   , H ,"66,000", Doctorate , D 
1504,LAIKA LLC, D ,   , H ,"42,224", Bachelor's , D 
6243,KATHREIN USA INC, D ,   , H ,"70,512", Master's , D 
2796,COLLEGENET INC,   , D , H ,"120,000", Doctorate , D 
286,THE CAROLYN E WYLIE CENTER FOR CHI, D ,   , H ,"28,080", Bachelor's , D 
18,BEND RESEARCH INC, D ,   , H ,"87,490", Doctorate , D 
5831,LUCIDYNE TECHNOLOGIES INC,   , D , H ,"135,000", Master's , D 
3856,COLUMBIA MEMORIAL HOSPITAL, D ,   , H ,"91,062", Master's , D 
7593,LAKE HEALTH DISTRICT DBA LAKE DIST,   , D , H ,"81,515", Master's , D 
7307,LAKE HEALTH DISTRICT DBA LAKE DIST, D ,   , H ,"61,693", Master's , D 
2833,TIGARD TUALATIN SCHOOL DISTRICT 23,   , D , H ,"46,559", Master's , D 
615,BOLDT CARLISLE & SMITH C P A L L C,   , D , H ,"58,800", Bachelor's , D 
8981,GRAPHIC INFORMATION SYSTEMS INC,   , D , H ,"47,091", Master's , D 
8781,SKY LAKES MEDICAL CTR INC,   , D , H ,"270,400", Professional Degree , D 
1940,NATIONAL UNIV OF NATURAL MEDICINE,   , D , H ,"71,992", Doctorate , D 
5580,GOOD SHEPHERD HEALTH CARE SYSTEM D, D ,   , H ,"243,000", Professional Degree , D 
1614,ST ANTHONY HOSPITAL PENDLETON, D ,   , H ,"250,000", Professional Degree , D 
6890,WARNER PACIFIC UNIVERSITY, D ,   , H ,"54,378", Doctorate , D 
6839,GEORGE FOX UNIV, D ,   , H ,"72,000", Master's , D 
6823,LEGACY EMANUEL HOSP & MEDICAL CTR,   , D , H ,"218,043", Professional Degree , D 
6722,NORTHWEST NATURAL GAS COMPANY D/B/,   , D , H ,"130,000", Master's , D 
5150,ADIDAS AMERICA INC, D ,   , H ,"80,000", Master's , D 
84,CITY OF NOME,   , D , H ,"109,632", Master's , D 
78,ANCHORAGE SCHOOL DISTRICT,   , D , H ,"73,823", Master's , D 
8624,SYMANTEC CORPORATION,   , D , H ,"103,000", Master's , D 
2745,FIREFLY DIMENSION INC, D ,   , H ,"55,000", Master's , D 
1430,IBM INDIA PRIVATE LIMITED,   , D , H ,"86,781", Master's , D 
286,CHIVALRY HEALTH INC, D ,   , H ,"478,906", Master's , D 
2743,INTEL CORP,   , D , H ,"107,885", Master's , D 
6705,RED DESIGN GROUP LLC,   , D , H ,"62,500", Master's , D 
2942,GE MEDICAL SYSTEMS ULTRASOUND & PR,   , D , H ,"132,500", Doctorate , D 
3728,TERRELL & TERRELL GR LLP DBA BTERR, D ,   , H ,"47,715", Master's , D 
1517,SAI INVESTMENTS LLC, D ,   , H ,"57,741", Master's , D 
9771,FAMILY CENTERED SVCS OF AK INC,   , D , H ,"56,534", Master's , D 
8538,BARTLETT REGIONAL HOSP,   , D , H ,"82,368", Master's , D 
8586,INTERNATIONAL SEAFOODS OF ALASKA,   , D , H ,"85,000", Bachelor's , D 
6926,A D L INC, D ,   , H ,"164,500", Professional Degree , D 
7563,GTT LLC,   , D , H ,"153,712", Master's , D 
1461,MANIILAQ ASSOCIATION INC, D ,   , H ,"79,485", Bachelor's , D 
9874,ALASKA USA FEDERAL CREDIT UNION,   , D , H ,"89,792", Master's , D 
7729,TESLA INC,   , D , H ,"160,000", Master's , D 
9479,PEACEHEALTH, D ,   , H ,"231,721", Professional Degree , D 
1797,COMMUNITY HEALTH ASSN OF SPOKANE,   , D , H ,"147,595", Professional Degree , D 
4726,FRANKLIN PIERCE SCHOOLS,   , D , H ,"52,305", Bachelor's , D 
2289,CRISTA MINISTRIES,   , D , H ,"85,000", Master's , D 
1283,CITY OF TACOMA,   , D , H ,"149,427", Master's , D 
1099,STATE OF WA EMPLOYMENT SECURITY DE, D ,   , H ,"78,144", Doctorate , D 
1071,WASHINGTON STATE DEPT OF LICENSING,   , D , H ,"66,264", Master's , D 
1025,PORT OF SEATTLE,   , D , H ,"117,846", Bachelor's , D 
8460,MORPHE LLC,   , D , H ,"135,000", Master's , D 
9011,ACQUIRED IO INC, D ,   , H ,"140,000", Master's , D 
1290,PWP EMPLOYER LP,   , D , H ,"250,000", Master's , D 
7845,HATFIELD INC,   , D , H ,"70,000", Master's , D 
3155,OATH HOLDINGS INC,   , D , H ,"148,400", Master's , D 
4516,VAREX IMAGING CORP, D ,   , H ,"74,303", Master's , D 
7549,NVDIA CORPORATION,   , D , H ,"162,000", Master's , D 
689,XPO LOGISTICS WORLDWIDE INC, D ,   , H ,"89,999", Master's , D 
6843,WHITEPAGES INC,   , D , H ,"155,000", Master's , D 
9729,TESLA INC, D ,   , H ,"100,000", Master's , D 
9425,ACCUVER AMERICAS INC,   , D , H ,"71,000", Master's , D 
3372,TDS AUTOMATION INC, D ,   , H ,"76,260", Master's , D 
4875,DESERT HEIGHTS CHARTER SCHOOLS,   , D , H ,"71,291", Master's , D 
1585,FAMILY SOLUTIONS INC, D ,   , H ,"40,000", Master's , D 
1313,FRIEDRICH AIR CONDITIONING LLC, D ,   , H ,"66,625", Master's , D 
9362,GARCIA TAMJIDI ARCHITECTURE DESIGN,   , D , H ,"56,618", Master's , D 
9053,AVATARLABS INC, D ,   , H ,"75,000", Master's , D 
8533,GLOBAL SEAS LLC,   , D , H ,"100,170", Bachelor's , D 
7512,VOICEBOX TECHNOLOGIES CORPORATION,   , D , H ,"77,000", Master's , D 
5301,PARKWAY THERAPIES LLC,   , D , H ,"90,168", Doctorate , D 
9368,EXPRESS IMAGING SYSTEMS LLC D B A,   , D , H ,"117,000", Bachelor's , D 
8180,SMALL WORLD MONTESSORI INC,   , D , H ,"41,820", Bachelor's , D 
7306,FLAMESPRAY NORTHWEST INC,   , D , H ,"116,272", Bachelor's , D 
4438,ST VINCENT MEDICAL CTR A PART OF V,   , D , H ,"155,001", Master's , D 
1836,OASIS PHYSICAL THERAPY PLLC,   , D , H ,"79,000", Master's , D 
9865,EVERGREEN EMERGENCY SVCS INC, D ,   , H ,57, Professional Degree , D 
5484,VERITY HEALTH SYSTEM OF CALIFORNIA, D ,   , H ,"145,000", Bachelor's , D 
4907,GRAHAM CONSTRUCTION & MGMT INC,   , D , H ,"77,000", Master's , D 
628,COVESTIC INC,   , D , H ,"143,000", Bachelor's , D 
8259,SIMULSTAT INCORPORATED,   , D , H ,"135,200", Master's , D 
5557,GOUVIS ENGRG CONSULTING GROUP INC,   , D , H ,"69,555", Master's , D 
1772,PALADINO AND COMPANY INC, D ,   , H ,"72,696", Master's , D 
1915,SPIRALEDGE INC, D ,   , H ,"95,306", Bachelor's , D 
9117,HELIX BIOMEDIX INC,   , D , H ,"171,000", Doctorate , D 
9555,MANTIS TECHNOLOGY GROUP INC,   , D , H ,"116,000", Bachelor's , D 
6965,INTEUM COMPANY LLC,   , D , H ,"100,000", Master's , D 
5743,SITE WORKSHOP LLC, D ,   , H ,"55,000", Master's , D 
4730,VENAFI INC,   , D , H ,"170,000", Master's , D 
3483,SUPERIOR CT OF CA CO OF SANTA CRUZ,   , D , H ,"108,674", Master's , D 
7691,CORAXIS CORPORATION, D ,   , H ,"60,300", Master's , D 
4107,PRECISION GLOBAL CONSULTING INC,   , D , H ,"75,000", Bachelor's , D 
151,XEVO INC,   , D , H ,"135,600", Bachelor's , D 
9153,A PLACE FOR MOM INC,   , D , H ,"130,000", Master's , D 
6376,NLIGHT INC,   , D , H ,"97,053", Doctorate , D 
9735,SLR INTL CORP,   , D , H ,"89,000", Master's , D 
9085,GOOD VIEW TECHNOLOGY INC, D ,   , H ,"91,138", Master's , D 
8548,HARBINGER SYSTEMS INC,   , D , H ,"84,718", Master's , D 
5998,AMEN CLINICS INC,   , D , H ,"200,000", Professional Degree , D 
4080,SERVICEMAX INC, D ,   , H ,"88,500", Master's , D 
8445,SSA MARINE INC,   , D , H ,"112,549", Bachelor's , D 
9560,ARENA SOLUTIONS INC,   , D , H ,"133,000", Bachelor's , D 
8550,NORTHWEST PHYSICIANS ASSOCIATES PC,   , D , H ,"400,000", Professional Degree , D 
8289,AAVID THERMALLOY LLC,   , D , H ,"130,000", Master's , D 
5319,CLARK BARNES PLLC,   , D , H ,"68,860", Master's , D 
9235,LIGHTEL TECHNOLOGIES INC, D ,   , H ,"60,000", Master's , D 
793,JAMES D BACON CPA PS,   , D , H ,"43,680", Master's , D 
2535,AUTHENTIX INC,   , D , H ,"130,000", Master's , D 
7487,STUDIO MENG STRAZZARA INC PS,   , D , H ,"56,000", Bachelor's , D 
6890,FIKES PUGET SOUND INC, D ,   , H ,"46,072", Bachelor's , D 
2600,T MOBILE USA INC, D ,   , H ,"120,000", Bachelor's , D 
9196,GREAT BEND REGIONAL HOSPITAL LLC,   , D , H ,"400,000", Professional Degree , D 
6083,EXPEDIA INC,   , D , H ,"140,422", Bachelor's , D 
1374,WEALTHLINK, D ,   , H ,"39,520", Bachelor's , D 
6545,AMAZON CORPORATE LLC,   , D , H ,"131,580", Master's , D 
341,FIDELITY ACCOUNTING TAX SERVICES P, D ,   , H ,"45,500", Master's , D 
8941,ENTOMO INC,   , D , H ,"95,000", Master's , D 
6296,DIGIPEN INSTITUTE OF TECHNOLOGY,   , D , H ,"70,000", Bachelor's , D 
3247,PLATEAU SOFTWARE INC, D ,   , H ,"105,000", Bachelor's , D 
7434,AGM INC,   , D , H ,"72,000", Bachelor's , D 
5424,CAPITAL ONE INVESTING LLC,   , D , H ,"132,883", Bachelor's , D 
760,SINCLAIR SYSTEMS INTERNATIONAL LLC,   , D , H ,"107,723", Master's , D 
4766,HY SECURITY GATE INC,   , D , H ,"120,000", Master's , D 
3958,RENOIR CORPORATION,   , D , H ,"210,000", Master's , D 
3084,SAZAN GROUP INC,   , D , H ,"130,000", Master's , D 
616,CREDITCARD DISCOUNT SERVICES INC,   , D , H ,31, Bachelor's , D 
6356,ROBERTSON & OLSON CONSTRUCTION INC, D ,   , H ,"60,580", Master's , D 
887,W STERNOFF LLC D/B/A BODY GLIDE, D ,   , H ,"38,563", Bachelor's , D 
7720,DOCTORS EXCHANGE OF WASHINGTON PC,   , D , H ,"116,121", Professional Degree , D 
2878,ALLYIS INC,   , D , H ,"102,000", Bachelor's , D 
7191,PJA ARCHITECTS LANDSCAPE ARCHITECT,   , D , H ,"55,000", Master's , D 
4749,DRILL TECH DRILLING & SHORING INC, D ,   , H ,"81,900", Doctorate , D 
8643,VALLEY FINE FOODS CO INC, D ,   , H ,"54,000", Master's , D 
4487,FOOTBALL NORTHWEST LLC DBA SEATTLE,   , D , H ,"520,000", Professional Degree , D 
1574,ASTEX PHARMACEUTICALS INC,   , D , H ,"195,000", Master's , D 
1150,INDUSTRIAL SOFTWARE SOLUTIONS WOND, D ,   , H ,"115,000", Master's , D 
7034,HANLIN MOSS YI PS,   , D , H ,"68,806", Bachelor's , D 
1586,BERYLLIUM DISCOVERY CORP,   , D , H ,"125,000", Doctorate , D 
6515,PACIFIC WEST SITE SERVICES INC,   , D , H ,"100,000", Master's , D 
4404,SPRINGFIELD FAMILY PHYSICIANS LLP, D ,   , H ,"220,000", Professional Degree , D 
8059,DUNAN PRECISION MANUFACTURING INC, D ,   , H ,"52,000", Master's , D 
3701,INDEPENDENT FLOOR TESTING & INSPEC,   , D , H ,"87,506", Master's , D 
1713,ALBION ENVIRONMENTAL INC, D ,   , H ,"69,680", Doctorate , D 
8666,ENLIVENING TECHNOLOGIES LLC, D ,   , H ,"108,000", Master's , D 
2478,WOOD RODGERS INC,   , D , H ,43, Doctorate , D 
6404,MERRICK BANK CORPORATION, D ,   , H ,"77,500", Master's , D 
8582,ACUMEN LLC,   , D , H ,"86,112", Master's , D 
7264,FLORA INC,   , D , H ,"58,240", Master's , D 
7782,CHARLES SCHWAB & CO INC,   , D , H ,"83,800", Bachelor's , D 
5279,NINTEDO TECH DEVELOPMENT INC,   , D , H ,"171,153", Master's , D 
4522,MEDIAMOSAIC INC DBA THE MOSAIC CO,   , D , H ,"94,565", Master's , D 
1028,ENGIE INSIGHT SERVICES INC,   , D , H ,"95,971", Master's , D 
9250,TEXT 100 LLC,   , D , H ,"185,000", Bachelor's , D 
8003,EVIA CORP,   , D , H ,"90,000", Bachelor's , D 
9062,ASIA PACIFIC LANGUAGE SCH (APLS), D ,   , H ,"28,958", Master's , D 
7664,PAULA S CHOICE INC,   , D , H ,"82,000", Master's , D 
3149,WB GAMES INC,   , D , H ,"130,000", Master's , D 
4823,PLAYNETWORK INC,   , D , H ,"98,698", Bachelor's , D 
3391,EARTH & SPACE RESEARCH,   , D , H ,"120,144", Doctorate , D 
7914,GN NORTHERN INC,   , D , H ,"60,000", Bachelor's , D 
880,BSQUARE CORPORATION, D ,   , H ,"99,400", Master's , D 
3965,SEASPINE HOLDINGS CORP,   , D , H ,"140,000", Master's , D 
3409,SUR LA TABLE INC,   , D , H ,"130,000", Master's , D 
1797,COMMUNITY HLTH ASSN OF SPOKANE, D ,   , H ,"147,595", Professional Degree , D 
313,INTEGRATIVE DENTISTRY, D ,   , H ,"5,200", Professional Degree , D 
786,KIN ON HEALTH CARE CENTER, D ,   , H ,"38,771", Master's , D 
8978,INFECTIOUS DISEASE RESEARCH INSTIT, D ,   , H ,"50,750", Doctorate , D 
7458,MERIT ENGINEERING INC, D ,   , H ,"25,407", Master's , D 
9555,CASCADIA CONSULTING GROUP INC, D ,   , H ,"65,770", Doctorate , D 
4249,DATRIUM INC,   , D , H ,"166,754", Master's , D 
5165,ZAK DESIGNS INC, D ,   , H ,"41,000", Master's , D 
1021,SERVERLOGIC CORPORATION, D ,   , H ,"112,320", Master's , D 
9683,LO INC,   , D , H ,"32,799", Bachelor's , D 
5262,VULCAN INC,   , D , H ,"94,594", Master's , D 
9412,TEREX WASHINGTON INC,   , D , H ,"82,226", Master's , D 
1880,EXELTECH CONSULTING INC, D ,   , H ,"64,418", Master's , D 
9105,MAVENIR SYSTEMS INC,   , D , H ,"136,475", Bachelor's , D 
1802,SYNERGY CONSTRUCTION INC, D ,   , H ,"69,000", Bachelor's , D 
2534,DYNAMIC COMPUTING SVCS DCS CORP,   , D , H ,"78,000", Bachelor's , D 
7758,NAVIA BENEFIT SOLUTIONS INC,   , D , H ,"99,112", Bachelor's , D 
4603,STATE OF WA DEPT OF HEALTH, D ,   , H ,"64,296", Master's , D 
2488,SQUARE ENIX INC, D ,   , H ,"62,000", Master's , D 
437,MAREL SEATTLE INC,   , D , H ,"163,300", Master's , D 
2133,LOUD TECHNOLOGIES INC,   , D , H ,"75,000", Bachelor's , D 
1446,WEBER THOMPSON LLC,   , D , H ,"65,000", Master's , D 
1013,MCCLURE AND SONS INC,   , D , H ,"70,000", Bachelor's , D 
3544,D AMATO CONVERSANO INC DBA DCI ENG, D ,   , H ,"62,000", Master's , D 
1331,ROSANNA IMPORTS INC, D ,   , H ,"64,188", Master's , D 
8278,AMES INTL INC, D ,   , H ,"45,000", Master's , D 
1953,SPECTRUM CONTROLS INC,   , D , H ,"117,104", Bachelor's , D 
3200,TALKING RAIN BEVERAGE COMPANY INC,   , D , H ,"70,000", Master's , D 
7935,UNIVAR USA INC,   , D , H ,"61,350", Bachelor's , D 
7576,LOVERIDGE HUNT AND CO, D ,   , H ,"50,232", Master's , D 
3840,HEALTHCARE MGMT ADMINISTRATORS INC,   , D , H ,"125,000", Bachelor's , D 
9470,TLC ACADEMY INC DBA TLC MONTESSORI,   , D , H ,"32,721", Bachelor's , D 
8574,BERNTSON PORTER & COMPANY PLLC, D ,   , H ,"67,000", Master's , D 
7341,TRUEBLUE INC,   , D , H ,"88,358", Bachelor's , D 
6274,SUNNYSIDE COMMUNITY HOSP ASSN DBA, D ,   , H ,"792,259", Professional Degree , D 
2790,BENSUSSEN DEUTSCH & ASSOCIATES LLC,   , D , H ,"144,863", Bachelor's , D 
2229,APPLIED TECHNICAL SERVICES CORPORA,   , D , H ,"135,000", Master's , D 
5756,TVI INC D/B/A SAVERS,   , D , H ,"110,000", Bachelor's , D 
2924,SKILLING CONNOLLY INC,   , D , H ,"90,480", Bachelor's , D 
6594,MILL A SCHOOL DIST 31, D ,   , H ,"68,000", Doctorate , D 
390,TECK ALASKA INC,   , D , H ,"116,532", Master's , D 
9184,LYNDEN INC,   , D , H ,"89,000", Master's , D 
1164,JAMCO AMERICA INC,   , D , H ,"112,008", Master's , D 
8123,MERCY CORPS, D ,   , H ,"74,000", Bachelor's , D 
4447,MICROSOFT CORPORATION,   , D , H ,"162,827", Master's , D 
4444,MICROSOFT CORPORATION,   , D , H ,"178,152", Bachelor's , D 
4441,MICROSOFT CORPORATION,   , D , H ,"104,600", Bachelor's , D 
314,JANSEN COMBUSTION AND BOILER TECH,   , D , H ,"77,040", Master's , D 
8675,TRI CITIES COMMUNITY HEALTH,   , D , H ,"258,500", Professional Degree , D 
2916,BERGER PARTNERSHIP,   , D , H ,"52,936", Master's , D 
1292,ZETRON INC,   , D , H ,"100,000", Master's , D 
1766,LMN ARCHITECTS LLP,   , D , H ,"54,080", Master's , D 
2187,RED LION HOTELS CORP,   , D , H ,"85,000", Master's , D 
1583,PUBLIC HOSP DISTRICT 1 A OF WHITMA, D ,   , H ,"53,955", Bachelor's , D 
3222,REISCHLING PRESS INC,   , D , H ,"75,008", Master's , D 
7627,CANCER CARE NORTHWEST CENTERS PS,   , D , H ,"364,000", Professional Degree , D 
7063,COLUMBIA STATE BANK CORPORATION,   , D , H ,"95,000", Bachelor's , D 
4344,UNIV PREPARATORY ACADEMY,   , D , H ,"69,865", Master's , D 
9796,ARCHITECTURAL WERKS INC,   , D , H ,"69,080", Bachelor's , D 
4194,FEDERAL SOFT SYSTEMS INC,   , D , H ,"64,000", Master's , D 
1910,ERICKSON MCGOVERN PLLC, D ,   , H ,"60,000", Master's , D 
7142,EAST VALLEY SCHOOL DISTRICT 361, D ,   , H ,"68,836", Master's , D 
5991,AHBL INC,   , D , H ,"76,850", Master's , D 
6701,COLUMBIA BASIN HEALTH ASSOCIATION, D ,   , H ,"140,000", Professional Degree , D 
3623,ARCTIC SLOPE NATIVE ASSOCIATION, D ,   , H ,"96,631", Master's , D 
1758,MAGNUSSON KLEMENCIC ASSOCIATES INC,   , D , H ,"74,004", Master's , D 
7384,AIPHONE CORPORATION,   , D , H ,"56,069", Master's , D 
5768,WHATCOM COMMUNITY COLLEGE,   , D , H ,"55,000", Master's , D 
651,KMS FINANCIAL SERVICES INC,   , D , H ,"103,000", Master's , D 
8540,MONTESSORI SCHOOL OF PULLMAN INC,   , D , H ,"30,600", Master's , D 
6763,PUBLIC HOSP DIST NO 1 OF MASON COU, D ,   , H ,"193,697", Professional Degree , D 
7518,PEARSON PACKAGING SYSTEMS,   , D , H ,"130,000", Master's , D 
6741,BIG BEND COMMUNITY COLLEGE, D ,   , H ,"55,000", Master's , D 
1620,OAC SERVICES INC, D ,   , H ,"69,826", Master's , D 
9265,BELLEVUE COLLEGE, D ,   , H ,"70,000", Master's , D 
7919,GLY CONSTRUCTION INC,   , D , H ,"80,000", Bachelor's , D 
7881,SANDVIK SPECIAL METALS LLC,   , D , H ,"69,000", Bachelor's , D 
4431,OVERLAKE SCHOOL THE, D ,   , H ,"73,783", Doctorate , D 
2578,WAGSTAFF INC,   , D , H ,"62,000", Master's , D 
0,SAM & ASSOCIATES INSURANCE AGENCY, D ,   , H ,"38,400", Master's , D 
9706,PYROTEK INCORPORATED,   , D , H ,"74,819", Master's , D 
8333,ABSHER CONSTRUCTION CO, D ,   , H ,"64,418", Bachelor's , D 
9660,COCHRANE GRIFFIN & CO INC DBA GRIF,   , D , H ,"100,000", Master's , D 
7886,PACIFIC NORTHWEST RESEARCH INST, D ,   , H ,"62,000", Master's , D 
3422,BENAROYA RESEARCH INSTITUTE AT VIR, D ,   , H ,"52,140", Doctorate , D 
5044,CALLISONS INC, D ,   , H ,"54,000", Master's , D 
6624,FLUKE CORPORATION,   , D , H ,"118,372", Master's , D 
2890,SELLEN CONSTRUCTION CO INC,   , D , H ,"95,500", Master's , D 
5571,PACIFIC LUTHERAN UNIVERSITY,   , D , H ,"63,934", Doctorate , D 
3035,JOHNSON FOODS INC,   , D , H ,"53,685", Bachelor's , D 
9466,NATIONAL SECURITIES CORPORATION, D ,   , H ,"18,720", Master's , D 
558,NORDSTROM INC,   , D , H ,"138,400", Bachelor's , D 
3310,WHITWORTH UNIV, D ,   , H ,"49,933", Doctorate , D 
4170,SWINOMISH INDIAN TRIBAL COMMUNITY,   , D , H ,"70,012", Master's , D 
9750,LOURDES HEALTH NETWORK, D ,   , H ,"215,000", Professional Degree , D 
7580,MUTUAL OF ENUMCLAW INSURANCE CO,   , D , H ,"101,554", Master's , D 
6630,CONTINENTAL MILLS INC,   , D , H ,"166,000", Doctorate , D 
1112,MICROSOFT CORPORATION,   , D , H ,"140,000", Master's , D 
9205,GALT PHARMACEUTICALS LLC, D ,   , H ,"100,000", Master's , D 
4691,SAN JOSE ART ACADEMY, D ,   , H ,"17,680", Bachelor's , D 
1691,SAN JOSE ART ACADEMY,   , D , H ,"46,410", Master's , D 
6007,RAPIDSOS INC,   , D , H ,"58,000", Bachelor's , D 
1157,LINDA KENDRICK DBA MEDESTHETICSRX,   , D , H ,"130,697", Bachelor's , D 
2566,VROOM INC,   , D , H ,"120,000", Master's , D 
603,ALTEN TECHNOLOGY USA INC,   , D , H ,"90,000", Bachelor's , D 
7837,THE INFLUENTIAL NETWORK INC, D ,   , H ,"40,000", Master's , D 
2307,EXALUTION INC,   , D , H ,"80,000", Master's , D 
8380,DEAN & CO STRATEGY CONSULTANTS LLC, D ,   , H ,"105,000", Master's , D 
7454,ASPIRE HEALTH INC, D ,   , H ,"57,200", Bachelor's , D 
7104,LAW OFFICES OF GARY S PARK PC,   , D , H ,"70,768", Professional Degree , D 
5359,INVESTOPEDIA LLC, D ,   , H ,"59,238", Bachelor's , D 
3188,ALLEN INST FOR ARTIFICIAL,   , D , H ,"172,720", Doctorate , D 
1153,DIRECT CONNECT HOLDINGS LLC DBA UN,   , D , H ,"95,000", Bachelor's , D 
5562,SEEDLING USA INC,   , D , H ,"100,000", Bachelor's , D 
3030,JN CORP,   , D , H ,"57,096", Bachelor's , D 
1825,DRB CAPITAL LLC,   , D , H ,"135,000", Master's , D 
1418,ADAMO BUILDING CO LLC,   , D , H ,"64,771", Master's , D 
1013,ENCANA SERVICES COMPANY LTD,   , D , H ,"101,050", Master's , D 
629,CYCLOMEDIA TECHNOLOGY INC,   , D , H ,"110,000", Master's , D 
583,TARGET ST8 CONSULTING LLC, D ,   , H ,"105,000", Bachelor's , D 
94,CHIVE INTERNATIONAL LLC,   , D , H ,"62,551", Master's , D 
8569,FORESIGHT ENERGY SVCS LLC, D ,   , H ,"125,000", Master's , D 
7587,NIRMIDAS BIOTECH INC,   , D , H ,"82,000", Doctorate , D 
5664,PLEASANT SPRINGS OPERATING COMPANY,   , D , H ,"99,840", Doctorate , D 
5286,BROOMALL OPERATING CO LP DB/A BROO,   , D , H ,"87,360", Doctorate , D 
3808,REDIS LABS INC,   , D , H ,"125,000", Master's , D 
167,CHEWY INC D/BA CHEWY COM,   , D , H ,"130,000", Bachelor's , D 
9854,WYLEI INC, D ,   , H ,"50,000", Bachelor's , D 
8053,ASARA LLC,   , D , H ,37, Bachelor's , D 
7927,REALTYSHARES INC, D ,   , H ,"195,000", Doctorate , D 
6796,TRUSTLOOK INC,   , D , H ,"85,000", Master's , D 
5269,DXRACER USA LLC, D ,   , H ,"46,946", Bachelor's , D 
2071,HUROM AMERICA INC, D ,   , H ,"64,000", Master's , D 
95,FRAME LA BRANDS LLC,   , D , H ,"135,000", Bachelor's , D 
9188,ENGELHART CTP US LLC,   , D , H ,"190,000", Master's , D 
8258,POWER PACKER NORTH AMERICA INC,   , D , H ,"122,000", Master's , D 
7916,SUN FIBER LLC, D ,   , H ,"40,000", Master's , D 
